screen_name,following,followers,favourites_count,verified
STARKKRESILIENT,245,414,5429,False
2019_steven,2730,6062,4003,False
monidyer,206,67,1564,False
DiegoAnguloB,577,491,462,False
javidavilam,13387,24105,3419,False
lucasestupinanc,632,1186,15656,False
Yannicklay86,939,253,4479,False
byronkim22,675,232,1204,False
karla_castillol,268,1218,845,False
AgriculturaEc,1874,114033,1923,True
rodrigos_ec,313,918,2281,False
RomarioParrales,113,163,1926,False
cecibeluca,237,48,5323,False
ROMULOBARCOS,388,135702,1297,False
GyeAi,249,79,96,False
GonzaloRodri56,126,69,118,False
Mercedes_A_A_L,66,24,217,False
DoyletJuan,207,229,50158,False
diego_unlocker,181,237,9,False
jhescalante,1307,266,22524,False
PieroCedeno,1240,432,100,False
kriscartaxi,1039,115,1979,False
Vega_Josse,336,1369,3632,False
MarvinFloresCh,331,120,850,False
LadyFalconesM,892,220,9889,False
FolkenSamaEc,111,203,36,False
TuitGuayaco,441,734,179,False
nasharela,257,933,9158,False
Denise_Bourne,293,436,1827,False
j_j_ampuero,1956,375,1648,False
SagitarioDe,2124,186,72,False
dancenter_jm,1170,3882,215,False
nancymayerd,165,226,2906,False
_Eigna,432,445,9388,False
wacho_peralta,116,7,8,False
PrefecturGuayas,92,123174,962,True
elkamy,1117,570,3146,False
castlefred,109,62,324,False
rpachecoi,202,196,564,False
ascarbo_,122,168,30440,False
abelopunk,577,1513,3399,False
FernandoA001,175,261,612,False
tabass10,159,258,664,False
rudale_sAn,154,52,231,False
cdavidjo,286,174,214,False
Domenikam_,302,1109,3954,False
alexycaro3033,439,285,300,False
BerzosaJorge1,8563,45545,11483,False
Rosalinda_1997,30,3,5,False
carlosa87719518,376,54,728,False
mproanoq,2056,692,17639,False
indieecuador,404,967,300,False
Edyyo,1231,693,8234,False
travesty328,4201,1772,13942,False
MicheyeAndrea,932,417,278,False
caro_delgado90,352,372,2273,False
abcdpancho,105,70,127,False
LPNav,189,135,41241,False
DarkBambiAbby,3,28,6,False
oscarismaelr,285,106,4709,False
MCarrasco_Ec,471,286,4399,False
Ignacio24247386,4005,1874,66206,False
lisbethneira7,433,739,5179,False
SoyHolgerMedina,1312,749,5587,False
avalcha,536,311,855,False
UCDMich,227,2815,1860,False
vjleonc93,1214,3078,5535,False
davidalvarez31,535,43,267,False
josuepatoac,155,22,68,False
andresgaraym,812,7275,7272,False
Ehml89,278,279,1157,False
andrescherrezc,231,305,387,False
DrMarkoLarrea,625,378,4707,False
